user_id,state,user_name
U824115,active,Michael Cox
U812256,active,Chloe Turner
U917218,active,Alexander Cruz
U977454,active,William Roberts
U292615,active,Noah Nelson
U401211,active,Isabella Gray
U531649,deleted,Noah Thomas
U297015,active,Abigail Hughes
U966556,active,Daniel Phillips
U346561,active,Chloe Wood
U700516,active,Madison Moore
U556850,active,Aiden Morris
U652606,active,Sophia Williams
U153712,active,Sophia Morgan
U266829,active,Michael Parker
U192467,active,Alexander Stewart
U511908,deleted,Mia Hill
U476616,active,Emma Stewart
U938803,active,Sophia Cook
U443006,active,Ava Watson
U806445,active,Aiden Richardson
U215381,active,Emma King
U139455,active,William Gray
U507687,active,Sophia Cox
U189100,active,Sophia Watson
U387250,active,Olivia Price
U213037,active,Alexander Reed
U700672,active,Emily Miller
U617555,active,Alexander Bell
U872282,active,Daniel Bennett
U180698,active,Sophia Thompson
U144991,deleted,Chloe Rogers
U979173,active,William Allen
