state,user_name,user_id
active,Ava Turner,U877257
active,Anthony Watson,U819537
active,Madison Thomas,U934579
active,William Phillips,U833377
active,Michael Parker,U266829
active,Emma Green,U358693
active,Jayden Murphy,U472423
active,Alexander Reed,U213037
active,Madison Jackson,U522793
deleted,Sophia Thompson,U266217
active,William Roberts,U977454
deleted,Noah Thomas,U531649
active,Sophia Morgan,U153712
active,Sophia Cook,U938803
active,Olivia Price,U387250
active,Daniel Bennett,U872282
active,Chloe Wood,U346561
deleted,Aiden Allen,U288161
active,Madison Moore,U700516
active,Noah Hern,U176749
active,Sophia Thompson,U180698
active,Mia Hill,U511908
active,Aiden Richardson,U806445
active,Ava Watson,U443006
active,Abigail Hughes,U297015
active,Sophia Williams,U652606
active,Noah Nelson,U292615
active,Aiden Morris,U556850
active,Emma Stewart,U476616
active,Isabella Gray,U401211
active,Chloe Turner,U812256
active,Sophia Watson,U189100
active,William Gray,U139455
deleted,Chloe Rogers,U144991
active,William Allen,U979173
active,Alexander Stewart,U192467
active,Sophia Cox,U507687
active,Emily Miller,U700672
active,Michael Cox,U824115
deleted,Isabella Watson,U295426
active,Emma King,U215381
active,Daniel Phillips,U966556
active,Alexander Cruz,U917218
active,Alexander Bell,U617555
